,total_annual_inc,dti_jnt,fico_score,home_ownership,installment,loan_amnt,earliest_cr_line,mort_acc,term,verification_status,zip_code,open_acc,total_acc,revol_util,grade,int_rate
0,134000.0,12.32,697.0,3,432.66,20000.0,082000,5.0,1,2,60,6.0,18.0,56.2,1,10.78
1,142000.0,16.48,667.0,3,498.15,15000.0,082004,1.0,0,0,91,9.0,16.0,88.3,2,11.99
2,156749.0,30.57,682.0,3,678.37,24000.0,071998,1.0,1,1,77,13.0,22.0,73.1,5,23.13
3,213000.0,22.73,677.0,3,551.5,24000.0,062001,2.0,1,1,64,13.0,24.0,53.3,2,13.44
4,123872.64000000001,31.89,682.0,2,320.7,8750.0,081998,0.0,0,1,60,9.0,12.0,96.5,4,18.99
5,98900.88,25.33,682.0,3,518.88,15000.0,111990,4.0,0,1,92,13.0,28.0,45.0,2,14.85
6,325732.0504390635,25.2,672.0,3,888.2,35000.0,041982,7.0,1,2,19,22.0,45.0,85.3,3,17.97
7,129000.0,15.7,667.0,3,265.68,8000.0,112005,1.0,0,2,92,9.0,14.0,54.3,2,11.99
8,112540.0,17.46,672.0,3,648.38,25000.0,091996,3.0,1,1,98,6.0,13.0,89.1,4,18.99
9,157000.0,18.67,667.0,3,337.83,10500.0,011992,1.0,0,1,85,22.0,43.0,83.9,1,9.8
10,185000.0,39.83,687.0,3,697.07,26600.0,121995,3.0,1,1,13,18.0,43.0,94.1,4,19.48
11,135000.0,26.53,672.0,2,461.54,14000.0,102003,0.0,0,2,79,22.0,45.0,84.2,1,11.48
12,105000.0,23.46,692.0,3,489.52,15000.0,092000,4.0,0,1,41,22.0,38.0,29.8,1,10.78
13,185000.0,21.08,707.0,3,593.4,18000.0,101999,3.0,0,0,33,13.0,28.0,48.7,1,11.48
14,100000.0,22.08,672.0,2,622.66,18000.0,012007,0.0,0,0,92,11.0,33.0,61.0,2,14.85
15,325732.0504390635,3.47,782.0,3,1115.77,35000.0,042007,4.0,0,0,94,3.0,12.0,2.2,1,9.17
16,122000.0,35.77,672.0,3,399.69,15750.0,062002,4.0,1,0,27,14.0,27.0,62.6,3,17.97
17,204000.0,21.58,697.0,3,382.55,12000.0,011998,2.0,0,1,46,14.0,22.0,51.3,1,9.17
18,154000.0,17.9,677.0,3,525.66,15000.0,112003,4.0,0,1,14,21.0,36.0,48.7,3,15.77
19,160000.0,28.24,677.0,3,937.06,35000.0,092003,1.0,1,1,78,10.0,30.0,94.8,4,20.5
20,268000.0,5.99,752.0,3,1104.71,35000.0,011989,4.0,0,0,95,8.0,12.0,52.3,1,8.49
21,130286.0,47.04,682.0,3,669.33,25000.0,011986,1.0,1,1,36,16.0,22.0,37.6,4,20.5
22,146000.0,11.62,702.0,3,590.94,19000.0,121995,2.0,0,0,27,14.0,32.0,29.8,0,7.49
23,160000.0,32.08,672.0,3,622.48,16775.0,011995,3.0,0,0,31,10.0,16.0,77.6,4,19.89
24,187000.0,38.1,737.0,3,842.25,32475.0,032002,4.0,1,2,77,9.0,34.0,34.5,4,18.99
25,128000.0,19.46,682.0,2,374.97,15000.0,082004,0.0,1,0,28,9.0,20.0,46.4,3,17.27
26,172000.0,18.7,762.0,3,989.29,35000.0,012005,2.0,1,1,84,20.0,40.0,52.2,5,23.13
27,236000.0,22.33,662.0,3,966.47,35000.0,022000,2.0,1,0,57,10.0,17.0,81.8,5,21.99
28,149000.0,10.03,667.0,3,177.15,5000.0,102004,1.0,0,1,33,13.0,18.0,43.4,3,16.55
29,243000.0,23.48,712.0,3,765.1,24000.0,081979,2.0,0,1,03,18.0,43.0,82.1,1,9.17
30,198000.0,12.54,702.0,3,675.25,21000.0,102000,2.0,0,2,43,9.0,15.0,47.6,1,9.76
31,155000.0,26.38,707.0,3,564.57,17000.0,092007,2.0,0,2,93,12.0,19.0,59.8,2,11.99
32,189000.0,18.52,707.0,3,683.94,21000.0,092002,1.0,0,0,48,7.0,10.0,63.5,1,10.64
33,220000.0,25.7,677.0,2,860.19,28000.0,082003,2.0,1,1,98,15.0,32.0,75.7,6,26.3
34,115000.0,8.03,722.0,1,312.86,10000.0,112007,0.0,0,2,11,7.0,15.0,10.1,0,7.89
35,160000.0,17.98,697.0,2,298.0,9525.0,032004,0.0,0,2,38,6.0,11.0,81.2,0,7.89
36,277000.0,21.34,672.0,3,394.12,12000.0,032001,3.0,0,0,03,12.0,45.0,34.7,1,11.22
37,63921.0,47.04,672.0,3,236.34,6550.0,071991,2.0,0,2,77,10.0,25.0,84.4,3,17.86
38,169000.0,21.22,677.0,2,282.18,8200.0,032011,0.0,0,0,91,21.0,25.0,13.4,2,14.48
39,160000.0,29.72,692.0,2,452.89,18000.0,041983,0.0,1,0,19,6.0,8.0,46.2,3,17.57
40,85600.0,35.11,677.0,3,389.48,15675.0,122000,1.0,1,2,32,10.0,22.0,64.6,3,16.99
41,157240.0,25.78,672.0,3,1262.88,35000.0,092003,2.0,0,1,17,22.0,45.0,59.7,3,17.86
42,250000.0,23.28,672.0,3,202.15,5625.0,061991,1.0,0,0,07,19.0,33.0,58.0,3,17.57
43,82200.0,27.69,697.0,2,222.4,10000.0,072006,0.0,1,2,54,8.0,12.0,86.6,2,11.99
44,235000.0,17.98,702.0,3,625.72,20000.0,061998,6.0,0,0,92,9.0,29.0,68.6,0,7.89
45,77000.0,13.74,672.0,2,328.43,10000.0,111999,0.0,0,0,64,6.0,14.0,56.4,1,11.22
46,285000.0,21.41,672.0,3,1257.8,35000.0,022002,4.0,0,1,20,16.0,35.0,61.1,3,17.57
47,133000.0,47.04,662.0,3,362.18,15400.0,051999,0.0,1,1,13,6.0,38.0,63.2,2,14.48
48,234500.0,14.2,672.0,3,393.9,12500.0,051996,2.0,0,0,95,10.0,31.0,71.5,1,8.38
49,105000.0,18.02,662.0,2,385.41,11200.0,092005,0.0,0,0,99,11.0,13.0,58.6,2,14.48
50,162792.0,18.46,707.0,3,732.2,21000.0,091998,5.0,0,0,32,10.0,28.0,50.1,3,15.41
51,169500.0,17.88,697.0,3,754.81,30000.0,072008,2.0,1,1,36,11.0,16.0,59.7,3,17.57
52,70500.0,25.34,672.0,2,399.67,15575.0,051991,1.0,1,0,34,7.0,15.0,47.6,4,18.49
53,111112.0,18.04,692.0,3,397.06,12600.0,101998,1.0,0,2,15,17.0,33.0,25.3,1,8.38
54,180000.0,30.63,682.0,3,768.19,32000.0,021994,1.0,1,1,53,16.0,28.0,62.2,3,15.41
55,195000.0,47.04,702.0,3,531.44,15000.0,091997,1.0,0,0,77,15.0,28.0,66.9,3,16.55
56,168000.0,36.39,662.0,3,1114.77,33000.0,121982,3.0,0,1,30,14.0,25.0,73.6,2,13.18
57,182000.0,17.16,667.0,3,492.65,15000.0,111989,2.0,0,0,43,12.0,20.0,67.7,1,11.22
58,165000.0,12.14,702.0,3,162.85,5000.0,051995,3.0,0,0,49,7.0,24.0,65.5,1,10.64
59,158494.0,21.2,672.0,3,891.2,25000.0,092003,3.0,0,1,68,6.0,27.0,97.9,3,16.99
60,113000.0,36.22,672.0,3,566.86,21400.0,091999,2.0,1,1,75,11.0,26.0,90.2,4,19.99
61,122000.0,30.11,662.0,3,651.9,18400.0,112001,0.0,0,1,78,11.0,29.0,63.7,3,16.55
62,134000.0,17.18,667.0,1,72.35,2000.0,021983,0.0,0,2,30,10.0,16.0,55.5,1,11.22
63,144800.0,11.58,672.0,3,154.35,4800.0,091978,6.0,0,0,21,9.0,33.0,50.7,1,9.76
64,107616.0,28.47,707.0,3,468.99,14400.0,062001,1.0,0,1,89,8.0,30.0,48.2,1,10.64
65,150000.0,22.43,712.0,1,239.1,7500.0,041995,4.0,0,2,53,13.0,35.0,54.9,1,9.17
66,95000.0,18.87,682.0,3,267.98,8000.0,101994,1.0,0,0,49,7.0,12.0,56.1,2,12.59
67,125808.6,47.04,672.0,1,741.68,28000.0,072000,7.0,1,1,92,3.0,20.0,92.8,4,19.99
68,134400.0,13.72,667.0,3,359.22,12000.0,122003,2.0,1,2,03,8.0,22.0,48.4,5,25.99
69,175000.0,32.96,667.0,2,672.16,28000.0,021993,3.0,1,2,92,10.0,27.0,86.8,3,15.41
70,198000.0,19.0,717.0,3,1149.51,35000.0,031999,3.0,0,0,82,13.0,31.0,31.3,1,11.22
71,222706.0,25.44,707.0,3,869.66,35000.0,032002,5.0,1,0,18,13.0,28.0,41.3,3,16.99
72,124052.0,16.14,692.0,2,543.8,15000.0,052005,1.0,0,1,13,11.0,15.0,26.2,4,18.2
73,180000.0,33.72,687.0,3,393.79,16000.0,081991,6.0,1,0,78,11.0,45.0,47.9,3,16.55
74,127402.0,8.04,662.0,2,315.3,9600.0,082009,0.0,0,1,78,9.0,23.0,42.6,1,11.22
75,95000.0,30.74,667.0,3,337.77,9475.0,032012,1.0,0,1,74,10.0,10.0,62.3,3,16.99
76,119000.0,22.58,707.0,3,482.32,15000.0,122004,2.0,0,1,89,8.0,15.0,57.8,1,9.76
77,325732.0504390635,36.08,677.0,3,613.34,24050.0,022001,5.0,1,2,37,20.0,45.0,85.0,4,18.2
78,141000.0,27.31,682.0,3,748.39,22000.0,011992,4.0,0,1,35,8.0,26.0,56.7,2,13.67
79,195000.0,12.68,732.0,1,803.93,24000.0,031995,5.0,0,1,90,7.0,19.0,97.3,2,12.59
80,84000.0,8.28,672.0,2,99.63,3000.0,082009,0.0,0,0,92,7.0,11.0,34.5,2,11.99
81,286000.0,22.7,672.0,3,669.46,21000.0,071994,2.0,0,0,37,9.0,32.0,77.6,1,9.17
82,141000.0,24.36,697.0,3,388.9,16200.0,032006,0.0,1,1,18,11.0,19.0,48.6,3,15.41
83,96696.0,20.88,677.0,3,266.88,12000.0,062003,3.0,1,1,85,5.0,11.0,51.4,2,11.99
84,305000.0,19.87,707.0,3,732.2,21000.0,042003,1.0,0,1,91,13.0,21.0,72.9,3,15.41
85,162000.0,27.34,692.0,2,754.81,30000.0,051989,0.0,1,1,11,16.0,23.0,59.0,3,17.57
86,124000.0,12.61,692.0,3,492.23,20000.0,052009,2.0,1,0,33,10.0,21.0,69.7,3,16.55
87,285000.0,27.1,722.0,3,799.59,35000.0,111999,4.0,1,0,23,22.0,45.0,68.7,2,13.18
88,117000.0,32.23,667.0,3,518.65,19175.0,101997,2.0,1,1,43,14.0,26.0,71.4,4,20.99
89,160000.0,24.66,682.0,3,1273.96,35000.0,121998,2.0,0,1,33,14.0,22.0,53.0,4,18.49
90,175000.0,30.58,667.0,3,723.27,19200.0,022012,1.0,0,1,93,13.0,15.0,65.0,4,20.99
91,130000.0,29.53,662.0,3,529.77,20000.0,012009,1.0,1,1,34,14.0,19.0,83.9,4,19.99
92,259000.0,12.49,662.0,3,880.61,35000.0,081991,3.0,1,1,10,4.0,14.0,67.9,3,17.57
93,64000.0,32.49,702.0,2,482.09,18200.0,092001,0.0,1,1,65,11.0,20.0,51.9,4,19.99
94,140500.0,22.04,667.0,2,586.24,18000.0,072000,2.0,0,1,60,8.0,30.0,79.0,1,10.64
95,257400.0,18.24,662.0,3,929.87,28000.0,031996,3.0,0,1,55,14.0,28.0,94.6,2,11.99
96,190000.0,40.74,722.0,3,156.86,4400.0,011998,4.0,0,1,58,18.0,42.0,72.1,3,16.99
97,50000.0,36.5,692.0,2,272.58,6600.0,122006,0.0,0,2,68,8.0,16.0,93.9,6,26.3
